State,Year,Estimate (%)
Alabama,2009-10,51.2
Alaska,2009-10,50.2
Arizona,2009-10,52.8
Arkansas,2009-10,65.3
California,2009-10,50.6
Colorado,2009-10,54.8
Connecticut,2009-10,59.4
Delaware,2009-10,67.7
District of Columbia,2009-10,57.1
Florida,2009-10,50
Georgia,2009-10,44.2
Hawaii,2009-10,74.3
Idaho,2009-10,44.7
Illinois,2009-10,51
Indiana,2009-10,58.7
Iowa,2009-10,61.9
Kansas,2009-10,54.3
Kentucky,2009-10,54
Louisiana,2009-10,55.1
Maine,2009-10,76.4
Maryland,2009-10,61.5
Massachusetts,2009-10,69.7
Michigan,2009-10,45
Minnesota,2009-10,59.2
Mississippi,2009-10,48.9
Missouri,2009-10,46.9
Montana,2009-10,44.9
Nebraska,2009-10,56.1
Nevada,2009-10,41.2
New Hampshire,2009-10,65.2
New Jersey,2009-10,57.5
New Mexico,2009-10,61.1
New York,2009-10,57
North Carolina,2009-10,53.9
North Dakota,2009-10,57.4
Ohio,2009-10,55.9
Oklahoma,2009-10,50.9
Oregon,2009-10,47.4
Pennsylvania,2009-10,59.3
United States,2009-10,54
Region 1,2009-10,67.9
Region 2,2009-10,57.2
Region 3,2009-10,61.8
Region 4,2009-10,50.5
Region 5,2009-10,52.9
Region 6,2009-10,54.5
Region 7,2009-10,53.5
Region 8,2009-10,52.9
Region 9,2009-10,51.2
Rhode Island,2009-10,81.4
South Carolina,2009-10,53.3
South Dakota,2009-10,65
Tennessee,2009-10,51.6
Texas,2009-10,52.3
Region 10,2009-10,45.7
Utah,2009-10,49.9
Vermont,2009-10,71.6
Virginia,2009-10,66.2
Washington,2009-10,44.7
West Virginia,2009-10,61.5
Wisconsin,2009-10,54.2
Wyoming,2009-10,51.6
Alabama,2009-10,52.2
Alaska,2009-10,50.9
Arizona,2009-10,53.1
Arkansas,2009-10,65.4
California,2009-10,51.2
Colorado,2009-10,55.6
Connecticut,2009-10,60.2
Delaware,2009-10,68.2
District of Columbia,2009-10,59.9
Florida,2009-10,50.5
Georgia,2009-10,45
Hawaii,2009-10,75.1
Idaho,2009-10,45.7
Illinois,2009-10,51.9
Indiana,2009-10,59.2
Iowa,2009-10,62.3
Kansas,2009-10,54.4
Kentucky,2009-10,54.3
Louisiana,2009-10,56.8
Maine,2009-10,76.6
Maryland,2009-10,61.9
Massachusetts,2009-10,70
Michigan,2009-10,46.8
Minnesota,2009-10,60.3
Mississippi,2009-10,49.7
Missouri,2009-10,47.1
Montana,2009-10,45.6
Nebraska,2009-10,56.6
Nevada,2009-10,42
New Hampshire,2009-10,66.4
New Jersey,2009-10,58.2
New Mexico,2009-10,62.7
New York,2009-10,57.6
North Carolina,2009-10,53.9
North Dakota,2009-10,57.7
Ohio,2009-10,56.4
Oklahoma,2009-10,51.4
Oregon,2009-10,47.7
Pennsylvania,2009-10,59.6
United States,2009-10,54.6
Region 1,2009-10,68.4
Region 2,2009-10,57.8
Region 3,2009-10,62.1
Region 4,2009-10,51.1
Region 5,2009-10,53.8
Region 6,2009-10,55.5
Region 7,2009-10,53.8
Region 8,2009-10,53.5
Region 9,2009-10,51.9
Rhode Island,2009-10,82.1
South Carolina,2009-10,54
South Dakota,2009-10,65.3
Tennessee,2009-10,52.5
Texas,2009-10,53.5
Region 10,2009-10,46.2
Utah,2009-10,50.4
Vermont,2009-10,74
Virginia,2009-10,66.3
Washington,2009-10,45
West Virginia,2009-10,62.3
Wisconsin,2009-10,54.6
Wyoming,2009-10,51.7
Alabama,2009-10,52.5
Alaska,2009-10,51.3
Arizona,2009-10,53.1
Arkansas,2009-10,65.9
California,2009-10,52.9
Colorado,2009-10,55.8
Connecticut,2009-10,60.4
Delaware,2009-10,68.3
District of Columbia,2009-10,60.2
Florida,2009-10,51.1
Georgia,2009-10,45.2
Hawaii,2009-10,76.3
Idaho,2009-10,45.9
Illinois,2009-10,52
Indiana,2009-10,59.7
Iowa,2009-10,62.3
Kansas,2009-10,54.4
Kentucky,2009-10,54.4
Louisiana,2009-10,57.3
Maine,2009-10,76.8
Maryland,2009-10,62
Massachusetts,2009-10,70.1
Michigan,2009-10,47
Minnesota,2009-10,61.2
Mississippi,2009-10,50.1
Missouri,2009-10,47.6
Montana,2009-10,45.6
Nebraska,2009-10,56.6
Nevada,2009-10,43.1
New Hampshire,2009-10,66.6
New Jersey,2009-10,58.2
New Mexico,2009-10,63.2
New York,2009-10,57.8
North Carolina,2009-10,54.4
North Dakota,2009-10,58.2
Ohio,2009-10,56.4
Oklahoma,2009-10,51.4
Oregon,2009-10,47.8
Pennsylvania,2009-10,59.6
United States,2009-10,55.1
Region 1,2009-10,68.6
Region 2,2009-10,57.9
Region 3,2009-10,62.3
Region 4,2009-10,51.6
Region 5,2009-10,54
Region 6,2009-10,56
Region 7,2009-10,53.9
Region 8,2009-10,53.7
Region 9,2009-10,53.2
Rhode Island,2009-10,82.1
South Carolina,2009-10,54
South Dakota,2009-10,65.6
Tennessee,2009-10,54.3
Texas,2009-10,54.1
Region 10,2009-10,46.3
Utah,2009-10,50.6
Vermont,2009-10,74.2
Virginia,2009-10,66.6
Washington,2009-10,45.1
West Virginia,2009-10,62.4
Wisconsin,2009-10,54.9
Wyoming,2009-10,52.1
Alabama,2009-10,53.2
Alaska,2009-10,51.3
Arizona,2009-10,53.1
Arkansas,2009-10,66
California,2009-10,53.3
Colorado,2009-10,55.8
Connecticut,2009-10,60.5
Delaware,2009-10,68.3
District of Columbia,2009-10,60.3
Florida,2009-10,51.1
Georgia,2009-10,45.2
Hawaii,2009-10,76.4
Idaho,2009-10,46.8
Illinois,2009-10,52.3
Indiana,2009-10,60.1
Iowa,2009-10,62.3
Kansas,2009-10,54.4
Kentucky,2009-10,54.4
Louisiana,2009-10,57.6
Maine,2009-10,76.8
Maryland,2009-10,62.3
Massachusetts,2009-10,70.1
Michigan,2009-10,47
Minnesota,2009-10,61.2
Mississippi,2009-10,50.1
Missouri,2009-10,47.6
Montana,2009-10,45.6
Nebraska,2009-10,56.6
Nevada,2009-10,43.1
New Hampshire,2009-10,66.6
New Jersey,2009-10,58.2
New Mexico,2009-10,63.5
New York,2009-10,57.9
North Carolina,2009-10,54.4
North Dakota,2009-10,58.2
Ohio,2009-10,56.4
Oklahoma,2009-10,51.4
Oregon,2009-10,47.8
Pennsylvania,2009-10,59.6
United States,2009-10,55.3
Region 1,2009-10,68.6
Region 2,2009-10,58
Region 3,2009-10,62.5
Region 4,2009-10,51.7
Region 5,2009-10,54.2
Region 6,2009-10,56.1
Region 7,2009-10,53.9
Region 8,2009-10,53.7
Region 9,2009-10,53.6
Rhode Island,2009-10,82.1
South Carolina,2009-10,54
South Dakota,2009-10,65.6
Tennessee,2009-10,54.3
Texas,2009-10,54.2
Region 10,2009-10,46.6
Utah,2009-10,50.6
Vermont,2009-10,74.2
Virginia,2009-10,67.4
Washington,2009-10,45.4
West Virginia,2009-10,62.4
Wisconsin,2009-10,54.9
Wyoming,2009-10,52.4
Alabama,2009-10,0.7
Alaska,2009-10,0.7
Arizona,2009-10,0.7
Arkansas,2009-10,NR †
California,2009-10,0.7
Colorado,2009-10,1
Connecticut,2009-10,NR †
Delaware,2009-10,NR †
District of Columbia,2009-10,0.6
Florida,2009-10,0.7
Georgia,2009-10,1.1
Hawaii,2009-10,2.3
Idaho,2009-10,NR †
Illinois,2009-10,0.6
Indiana,2009-10,0.9
Iowa,2009-10,1.1
Kansas,2009-10,0.6
Kentucky,2009-10,1.1
Louisiana,2009-10,1.1
Maine,2009-10,0.4
Maryland,2009-10,0.9
Massachusetts,2009-10,0.8
Michigan,2009-10,0.8
Minnesota,2009-10,0.5
Mississippi,2009-10,0.6
Missouri,2009-10,NR †
Montana,2009-10,0.4
Nebraska,2009-10,0.8
Nevada,2009-10,1.1
New Hampshire,2009-10,0.4
New Jersey,2009-10,0.4
New Mexico,2009-10,NR †
New York,2009-10,NR †
North Carolina,2009-10,0.8
North Dakota,2009-10,NR †
Ohio,2009-10,0.6
Oklahoma,2009-10,0.6
Oregon,2009-10,0.4
Pennsylvania,2009-10,0.4
United States,2009-10,0.7
Region 1,2009-10,0.6
Region 2,2009-10,0.4
Region 3,2009-10,0.7
Region 4,2009-10,0.7
Region 5,2009-10,0.7
Region 6,2009-10,1
Region 7,2009-10,0.7
Region 8,2009-10,0.8
Region 9,2009-10,0.8
Rhode Island,2009-10,0.8
South Carolina,2009-10,0.4
South Dakota,2009-10,NR †
Tennessee,2009-10,NR †
Texas,2009-10,1.1
Region 10,2009-10,0.5
Utah,2009-10,0.7
Vermont,2009-10,NR †
Virginia,2009-10,0.9
Washington,2009-10,0.5
West Virginia,2009-10,NR †
Wisconsin,2009-10,0.6
Wyoming,2009-10,0.8
Alabama,2009-10,8.2
Alaska,2009-10,8.3
Arizona,2009-10,8.7
Arkansas,2009-10,5.7
California,2009-10,5.9
Colorado,2009-10,8.5
Connecticut,2009-10,7.1
Delaware,2009-10,7.5
District of Columbia,2009-10,8.5
Florida,2009-10,6.9
Georgia,2009-10,8.5
Hawaii,2009-10,12.5
Idaho,2009-10,6.7
Illinois,2009-10,8.1
Indiana,2009-10,8.1
Iowa,2009-10,9.4
Kansas,2009-10,9.4
Kentucky,2009-10,9.5
Louisiana,2009-10,7.3
Maine,2009-10,6
Maryland,2009-10,9.2
Massachusetts,2009-10,8.9
Michigan,2009-10,7.1
Minnesota,2009-10,10.3
Mississippi,2009-10,6.4
Missouri,2009-10,7.6
Montana,2009-10,6.3
Nebraska,2009-10,8.7
Nevada,2009-10,6
New Hampshire,2009-10,7
New Jersey,2009-10,6.6
New Mexico,2009-10,9
New York,2009-10,6.3
North Carolina,2009-10,7.2
North Dakota,2009-10,8.9
Ohio,2009-10,7.5
Oklahoma,2009-10,6.7
Oregon,2009-10,8.3
Pennsylvania,2009-10,7.3
United States,2009-10,7.6
Region 1,2009-10,7.9
Region 2,2009-10,6.4
Region 3,2009-10,8.6
Region 4,2009-10,7.5
Region 5,2009-10,7.9
Region 6,2009-10,8.4
Region 7,2009-10,8.4
Region 8,2009-10,8.1
Region 9,2009-10,6.5
Rhode Island,2009-10,9.9
South Carolina,2009-10,6.8
South Dakota,2009-10,7.5
Tennessee,2009-10,7.2
Texas,2009-10,9
Region 10,2009-10,7.5
Utah,2009-10,8.3
Vermont,2009-10,4.4
Virginia,2009-10,10.8
Washington,2009-10,7.2
West Virginia,2009-10,6.7
Wisconsin,2009-10,6.8
Wyoming,2009-10,8.2
Alabama,2009-10,26.5
Alaska,2009-10,24.6
Arizona,2009-10,27.3
Arkansas,2009-10,25
California,2009-10,19.7
Colorado,2009-10,29.9
Connecticut,2009-10,27.3
Delaware,2009-10,27.8
District of Columbia,2009-10,26.8
Florida,2009-10,22.5
Georgia,2009-10,24.9
Hawaii,2009-10,30.2
Idaho,2009-10,23.7
Illinois,2009-10,26.1
Indiana,2009-10,29.5
Iowa,2009-10,32.3
Kansas,2009-10,30
Kentucky,2009-10,31.1
Louisiana,2009-10,25.7
Maine,2009-10,22.9
Maryland,2009-10,28.7
Massachusetts,2009-10,28
Michigan,2009-10,24.5
Minnesota,2009-10,32.1
Mississippi,2009-10,24.4
Missouri,2009-10,27.9
Montana,2009-10,25.3
Nebraska,2009-10,32.6
Nevada,2009-10,22.3
New Hampshire,2009-10,28
New Jersey,2009-10,24.4
New Mexico,2009-10,28.6
New York,2009-10,23.5
North Carolina,2009-10,26.6
North Dakota,2009-10,30.7
Ohio,2009-10,26.3
Oklahoma,2009-10,27.4
Oregon,2009-10,26.9
Pennsylvania,2009-10,27.2
United States,2009-10,25.8
Region 1,2009-10,27.4
Region 2,2009-10,23.7
Region 3,2009-10,28.6
Region 4,2009-10,25.8
Region 5,2009-10,26.7
Region 6,2009-10,26.4
Region 7,2009-10,29.9
Region 8,2009-10,29.4
Region 9,2009-10,21.2
Rhode Island,2009-10,28.6
South Carolina,2009-10,27
South Dakota,2009-10,32.5
Tennessee,2009-10,31.7
Texas,2009-10,26.3
Region 10,2009-10,26
Utah,2009-10,28.6
Vermont,2009-10,29.3
Virginia,2009-10,31.2
Washington,2009-10,26.1
West Virginia,2009-10,27.1
Wisconsin,2009-10,24.1
Wyoming,2009-10,29.8
Alabama,2009-10,35.6
Alaska,2009-10,34.9
Arizona,2009-10,36.4
Arkansas,2009-10,39.2
California,2009-10,29.4
Colorado,2009-10,40.5
Connecticut,2009-10,39.1
Delaware,2009-10,38.7
District of Columbia,2009-10,37.7
Florida,2009-10,32.1
Georgia,2009-10,33.3
Hawaii,2009-10,41.4
Idaho,2009-10,34.5
Illinois,2009-10,36.5
Indiana,2009-10,39.2
Iowa,2009-10,44.8
Kansas,2009-10,40.8
Kentucky,2009-10,40.9
Louisiana,2009-10,35.8
Maine,2009-10,35.5
Maryland,2009-10,38.9
Massachusetts,2009-10,41.7
Michigan,2009-10,33.5
Minnesota,2009-10,44.2
Mississippi,2009-10,33.3
Missouri,2009-10,38.6
Montana,2009-10,36.4
Nebraska,2009-10,45.2
Nevada,2009-10,30.3
New Hampshire,2009-10,42.5
New Jersey,2009-10,33.9
New Mexico,2009-10,40.3
New York,2009-10,34.4
North Carolina,2009-10,37
North Dakota,2009-10,41
Ohio,2009-10,36.3
Oklahoma,2009-10,38.5
Oregon,2009-10,37.1
Pennsylvania,2009-10,38.6
United States,2009-10,36.1
Region 1,2009-10,40.4
Region 2,2009-10,34.2
Region 3,2009-10,39.9
Region 4,2009-10,35.3
Region 5,2009-10,37.1
Region 6,2009-10,36
Region 7,2009-10,41.2
Region 8,2009-10,40.6
Region 9,2009-10,30.8
Rhode Island,2009-10,40.7
South Carolina,2009-10,37.4
South Dakota,2009-10,47.2
Tennessee,2009-10,41
Texas,2009-10,35.1
Region 10,2009-10,37.2
Utah,2009-10,40.2
Vermont,2009-10,41.1
Virginia,2009-10,43
Washington,2009-10,38.1
West Virginia,2009-10,39.5
Wisconsin,2009-10,36.3
Wyoming,2009-10,39.8
Alabama,2009-10,38
Alaska,2009-10,39.1
Arizona,2009-10,39.3
Arkansas,2009-10,44.3
California,2009-10,34.3
Colorado,2009-10,43.5
Connecticut,2009-10,42.8
Delaware,2009-10,42.3
District of Columbia,2009-10,42.7
Florida,2009-10,35.1
Georgia,2009-10,37.3
Hawaii,2009-10,45.5
Idaho,2009-10,37.8
Illinois,2009-10,40.9
Indiana,2009-10,42.2
Iowa,2009-10,49.8
Kansas,2009-10,45
Kentucky,2009-10,43
Louisiana,2009-10,39.5
Maine,2009-10,43
Maryland,2009-10,42.8
Massachusetts,2009-10,47
Michigan,2009-10,37.2
Minnesota,2009-10,49.5
Mississippi,2009-10,36.2
Missouri,2009-10,41.6
Montana,2009-10,39.5
Nebraska,2009-10,49
Nevada,2009-10,33.7
New Hampshire,2009-10,47.3
New Jersey,2009-10,37.3
New Mexico,2009-10,44.6
New York,2009-10,39.5
North Carolina,2009-10,41.2
North Dakota,2009-10,45.7
Ohio,2009-10,39.7
Oklahoma,2009-10,42.8
Oregon,2009-10,40.7
Pennsylvania,2009-10,42.4
United States,2009-10,40.1
Region 1,2009-10,45.5
Region 2,2009-10,38.9
Region 3,2009-10,43.6
Region 4,2009-10,38.6
Region 5,2009-10,41
Region 6,2009-10,39.8
Region 7,2009-10,45
Region 8,2009-10,44.2
Region 9,2009-10,35.3
Rhode Island,2009-10,46.5
South Carolina,2009-10,40.8
South Dakota,2009-10,53.1
Tennessee,2009-10,44
Texas,2009-10,38.6
Region 10,2009-10,41.3
Utah,2009-10,44.2
Vermont,2009-10,45.9
Virginia,2009-10,46.6
Washington,2009-10,42.7
West Virginia,2009-10,42.8
Wisconsin,2009-10,40.4
Wyoming,2009-10,42.9
Alabama,2009-10,40.4
Alaska,2009-10,39.9
Arizona,2009-10,41.8
Arkansas,2009-10,46.7
California,2009-10,38.2
Colorado,2009-10,45.3
Connecticut,2009-10,45.6
Delaware,2009-10,45.1
District of Columbia,2009-10,45.3
Florida,2009-10,36.8
Georgia,2009-10,39.4
Hawaii,2009-10,49.6
Idaho,2009-10,40
Illinois,2009-10,42.9
Indiana,2009-10,44.2
Iowa,2009-10,52.6
Kansas,2009-10,46.9
Kentucky,2009-10,44.6
Louisiana,2009-10,42.7
Maine,2009-10,47.1
Maryland,2009-10,45.1
Massachusetts,2009-10,51.3
Michigan,2009-10,39.6
Minnesota,2009-10,53.2
Mississippi,2009-10,38.6
Missouri,2009-10,44
Montana,2009-10,41.7
Nebraska,2009-10,52
Nevada,2009-10,35.6
New Hampshire,2009-10,51.5
New Jersey,2009-10,39.8
New Mexico,2009-10,48.2
New York,2009-10,42.4
North Carolina,2009-10,43.4
North Dakota,2009-10,48.5
Ohio,2009-10,41.5
Oklahoma,2009-10,45.1
Oregon,2009-10,43
Pennsylvania,2009-10,44.8
United States,2009-10,42.7
Region 1,2009-10,49.4
Region 2,2009-10,41.6
Region 3,2009-10,46.1
Region 4,2009-10,40.6
Region 5,2009-10,43.2
Region 6,2009-10,42.7
Region 7,2009-10,47.5
Region 8,2009-10,46.4
Region 9,2009-10,38.8
Rhode Island,2009-10,50.8
South Carolina,2009-10,43.1
South Dakota,2009-10,55.6
Tennessee,2009-10,46.1
Texas,2009-10,41.5
Region 10,2009-10,43.9
Utah,2009-10,46.9
Vermont,2009-10,50
Virginia,2009-10,49.4
Washington,2009-10,45.7
West Virginia,2009-10,44.8
Wisconsin,2009-10,42.4
Wyoming,2009-10,44.8
Alabama,2009-10,41.9
Alaska,2009-10,42.2
Arizona,2009-10,42.6
Arkansas,2009-10,47.9
California,2009-10,40.7
Colorado,2009-10,46.6
Connecticut,2009-10,46.6
Delaware,2009-10,46.6
District of Columbia,2009-10,46.2
Florida,2009-10,38
Georgia,2009-10,41.5
Hawaii,2009-10,52.2
Idaho,2009-10,40.9
Illinois,2009-10,45.6
Indiana,2009-10,45.7
Iowa,2009-10,53.8
Kansas,2009-10,48.2
Kentucky,2009-10,45.4
Louisiana,2009-10,44.4
Maine,2009-10,49
Maryland,2009-10,46.7
Massachusetts,2009-10,53.5
Michigan,2009-10,40.4
Minnesota,2009-10,54.7
Mississippi,2009-10,39.8
Missouri,2009-10,45
Montana,2009-10,42.7
Nebraska,2009-10,53
Nevada,2009-10,36.3
New Hampshire,2009-10,52.7
New Jersey,2009-10,40.9
New Mexico,2009-10,49.7
New York,2009-10,44.2
North Carolina,2009-10,44.9
North Dakota,2009-10,49.2
Ohio,2009-10,42.3
Oklahoma,2009-10,46.2
Oregon,2009-10,44.3
Pennsylvania,2009-10,45.8
United States,2009-10,44.2
Region 1,2009-10,51.2
Region 2,2009-10,43.2
Region 3,2009-10,47.4
Region 4,2009-10,42
Region 5,2009-10,44.7
Region 6,2009-10,44.1
Region 7,2009-10,48.6
Region 8,2009-10,47.5
Region 9,2009-10,41
Rhode Island,2009-10,53.6
South Carolina,2009-10,44.5
South Dakota,2009-10,56.6
Tennessee,2009-10,47.3
Texas,2009-10,42.9
Region 10,2009-10,45.4
Utah,2009-10,48.3
Vermont,2009-10,51.6
Virginia,2009-10,50.7
Washington,2009-10,47.4
West Virginia,2009-10,45.9
Wisconsin,2009-10,43.5
Wyoming,2009-10,45.7
Alabama,2009-10,42.3
Alaska,2009-10,42.5
Arizona,2009-10,43.5
Arkansas,2009-10,49.4
California,2009-10,41.7
Colorado,2009-10,47.2
Connecticut,2009-10,47.5
Delaware,2009-10,47.4
District of Columbia,2009-10,46.6
Florida,2009-10,38.5
Georgia,2009-10,42.6
Hawaii,2009-10,53.4
Idaho,2009-10,41.1
Illinois,2009-10,45.6
Indiana,2009-10,46.1
Iowa,2009-10,54.2
Kansas,2009-10,48.6
Kentucky,2009-10,46.2
Louisiana,2009-10,45.1
Maine,2009-10,50
Maryland,2009-10,47.1
Massachusetts,2009-10,54.1
Michigan,2009-10,40.7
Minnesota,2009-10,54.9
Mississippi,2009-10,40.3
Missouri,2009-10,45.2
Montana,2009-10,43.1
Nebraska,2009-10,53.4
Nevada,2009-10,36.8
New Hampshire,2009-10,53.2
New Jersey,2009-10,41.3
New Mexico,2009-10,50.1
New York,2009-10,45.2
North Carolina,2009-10,45.5
North Dakota,2009-10,49.5
Ohio,2009-10,42.6
Oklahoma,2009-10,47.2
Oregon,2009-10,44.7
Pennsylvania,2009-10,46.1
United States,2009-10,44.9
Region 1,2009-10,52.1
Region 2,2009-10,44
Region 3,2009-10,48
Region 4,2009-10,42.7
Region 5,2009-10,45
Region 6,2009-10,44.6
Region 7,2009-10,48.9
Region 8,2009-10,48.2
Region 9,2009-10,42
Rhode Island,2009-10,54.7
South Carolina,2009-10,45.5
South Dakota,2009-10,57.4
Tennessee,2009-10,47.7
Texas,2009-10,43.3
Region 10,2009-10,45.9
Utah,2009-10,49.3
Vermont,2009-10,54.2
Virginia,2009-10,52
Washington,2009-10,47.9
West Virginia,2009-10,47.1
Wisconsin,2009-10,44.1
Wyoming,2009-10,46.1
Alabama,2009-10,42.8
Alaska,2009-10,42.9
Arizona,2009-10,43.6
Arkansas,2009-10,49.4
California,2009-10,41.9
Colorado,2009-10,47.4
Connecticut,2009-10,48
Delaware,2009-10,47.9
District of Columbia,2009-10,46.8
Florida,2009-10,38.9
Georgia,2009-10,42.7
Hawaii,2009-10,54.3
Idaho,2009-10,41.2
Illinois,2009-10,45.7
Indiana,2009-10,46.6
Iowa,2009-10,54.8
Kansas,2009-10,48.7
Kentucky,2009-10,46.5
Louisiana,2009-10,45.5
Maine,2009-10,50.3
Maryland,2009-10,47.8
Massachusetts,2009-10,54.5
Michigan,2009-10,40.9
Minnesota,2009-10,54.9
Mississippi,2009-10,40.4
Missouri,2009-10,45.9
Montana,2009-10,43.2
Nebraska,2009-10,54
Nevada,2009-10,37.8
New Hampshire,2009-10,53.5
New Jersey,2009-10,41.6
New Mexico,2009-10,50.5
New York,2009-10,45.6
North Carolina,2009-10,46.3
North Dakota,2009-10,49.6
Ohio,2009-10,43
Oklahoma,2009-10,48.2
Oregon,2009-10,45
Pennsylvania,2009-10,46.5
United States,2009-10,45.2
Region 1,2009-10,52.4
Region 2,2009-10,44.4
Region 3,2009-10,48.4
Region 4,2009-10,43
Region 5,2009-10,45.2
Region 6,2009-10,44.9
Region 7,2009-10,49.4
Region 8,2009-10,48.3
Region 9,2009-10,42.2
Rhode Island,2009-10,54.9
South Carolina,2009-10,45.7
South Dakota,2009-10,57.4
Tennessee,2009-10,47.8
Texas,2009-10,43.4
Region 10,2009-10,46.4
Utah,2009-10,49.4
Vermont,2009-10,54.6
Virginia,2009-10,52.1
Washington,2009-10,48.6
West Virginia,2009-10,47.4
Wisconsin,2009-10,44.3
Wyoming,2009-10,46.1
Alabama,2009-10,43
Alaska,2009-10,42.9
Arizona,2009-10,43.6
Arkansas,2009-10,49.4
California,2009-10,42.3
Colorado,2009-10,47.8
Connecticut,2009-10,48
Delaware,2009-10,48.2
District of Columbia,2009-10,47.1
Florida,2009-10,38.9
Georgia,2009-10,42.9
Hawaii,2009-10,54.8
Idaho,2009-10,41.4
Illinois,2009-10,45.7
Indiana,2009-10,46.9
Iowa,2009-10,54.8
Kansas,2009-10,48.7
Kentucky,2009-10,47
Louisiana,2009-10,45.7
Maine,2009-10,50.3
Maryland,2009-10,47.8
Massachusetts,2009-10,55.2
Michigan,2009-10,41.4
Minnesota,2009-10,54.9
Mississippi,2009-10,40.4
Missouri,2009-10,45.9
Montana,2009-10,43.4
Nebraska,2009-10,54
Nevada,2009-10,38.1
New Hampshire,2009-10,53.5
New Jersey,2009-10,41.7
New Mexico,2009-10,51.3
New York,2009-10,45.6
North Carolina,2009-10,46.7
North Dakota,2009-10,49.6
Ohio,2009-10,43
Oklahoma,2009-10,48.2
Oregon,2009-10,45
Pennsylvania,2009-10,46.5
United States,2009-10,45.4
Region 1,2009-10,52.8
Region 2,2009-10,44.4
Region 3,2009-10,48.4
Region 4,2009-10,43.1
Region 5,2009-10,45.4
Region 6,2009-10,45.1
Region 7,2009-10,49.4
Region 8,2009-10,48.6
Region 9,2009-10,42.6
Rhode Island,2009-10,55.6
South Carolina,2009-10,45.8
South Dakota,2009-10,57.8
Tennessee,2009-10,47.8
Texas,2009-10,43.7
Region 10,2009-10,46.5
Utah,2009-10,49.4
Vermont,2009-10,54.6
Virginia,2009-10,52.1
Washington,2009-10,48.8
West Virginia,2009-10,47.4
Wisconsin,2009-10,44.9
Wyoming,2009-10,46.1
Alabama,2009-10,NR †
Alaska,2009-10,NR †
Arizona,2009-10,NR †
Arkansas,2009-10,NR †
California,2009-10,NR †
Colorado,2009-10,NR †
Connecticut,2009-10,NR †
District of Columbia,2009-10,NR †
Florida,2009-10,NR †
Georgia,2009-10,NR †
Hawaii,2009-10,NR †
Idaho,2009-10,NR †
Indiana,2009-10,NR †
Kansas,2009-10,NR †
Kentucky,2009-10,NR †
Louisiana,2009-10,NR †
Maine,2009-10,NR †
Maryland,2009-10,NR †
Massachusetts,2009-10,NR †
Michigan,2009-10,NR †
Minnesota,2009-10,NR †
Mississippi,2009-10,NR †
Missouri,2009-10,NR †
Montana,2009-10,NR †
Nebraska,2009-10,NR †
Nevada,2009-10,NR †
New Jersey,2009-10,NR †
New Mexico,2009-10,NR †
New York,2009-10,NR †
North Carolina,2009-10,NR †
North Dakota,2009-10,NR †
Ohio,2009-10,NR †
Oklahoma,2009-10,NR †
Oregon,2009-10,NR †
Pennsylvania,2009-10,NR †
United States,2009-10,0.9
Region 1,2009-10,NR †
Region 2,2009-10,NR †
Region 3,2009-10,NR †
Region 4,2009-10,1.1
Region 5,2009-10,NR †
Region 6,2009-10,1.6
Region 7,2009-10,NR †
Region 8,2009-10,NR †
Region 9,2009-10,NR †
Rhode Island,2009-10,NR †
South Carolina,2009-10,NR †
South Dakota,2009-10,NR †
Tennessee,2009-10,NR †
Texas,2009-10,NR †
Region 10,2009-10,1
Utah,2009-10,NR †
Vermont,2009-10,NR †
Virginia,2009-10,NR †
Washington,2009-10,NR †
Wisconsin,2009-10,NR †
Wyoming,2009-10,NR †
Alabama,2009-10,9.3
Alaska,2009-10,9.6
Arizona,2009-10,6.3
Arkansas,2009-10,9.7
California,2009-10,4.5
Colorado,2009-10,9.7
Connecticut,2009-10,12.2
Delaware,2009-10,NR †
